Código,Título
4611,Comercio al por menor de abarrotes y alimentos 
4612,"Comercio al por menor de bebidas, hielo y tabaco "
4621,Comercio al por menor en tiendas de autoservicio 
4622,Comercio al por menor en tiendas departamentales 
4631,"Comercio al por menor de productos textiles, excepto ropa "
4632,"Comercio al por menor de ropa, bisutería y accesorios de vestir "
4633,Comercio al por menor de calzado 
4641,Comercio al por menor de artículos para el cuidado de la salud 
4651,Comercio al por menor de artículos de perfumería y joyería 
4652,Comercio al por menor de artículos para el esparcimiento 
4653,"Comercio al por menor de artículos de papelería, libros, revistas y periódicos "
4659,"Comercio al por menor de mascotas, regalos, artículos religiosos, desechables, artesanías y otros artículos de uso personal "
4661,Comercio al por menor de muebles para el hogar y otros enseres domésticos 
4662,"Comercio al por menor de mobiliario, equipo y accesorios de cómputo, teléfonos y otros aparatos de comunicación "
4663,Comercio al por menor de artículos para la decoración de interiores 
4664,Comercio al por menor de artículos usados 
4671,"Comercio al por menor de artículos de ferretería, tlapalería y vidrios "
4681,Comercio al por menor de automóviles y camionetas 
4682,"Comercio al por menor de partes y refacciones para automóviles, camionetas y camiones "
4683,Comercio al por menor de motocicletas y otros vehículos de motor 
4684,"Comercio al por menor de combustibles, aceites y grasas lubricantes "
4851,Transporte colectivo urbano y suburbano de pasajeros de ruta fijaT 
4852,Transporte colectivo foráneo de pasajeros de ruta fijaT 
4871,Transporte turístico por tierraT 
4879,Otro transporte turísticoT 
5221,Banca múltiple 
5223,Uniones de crédito e instituciones de ahorro 
5224,Otras instituciones de intermediación crediticia y financiera no bursátil 
5231,"Casas de bolsa, casas de cambio y centros cambiariosT "
5411,Servicios legalesT 
5412,"Servicios de contabilidad, auditoría y servicios relacionadosT "
5511,CorporativosT 
6111,"Escuelas de educación básica, media y para necesidades especialesT "
6112,Escuelas de educación técnica superiorT 
6113,Escuelas de educación superiorT 
6114,"Escuelas comerciales, de computación y de capacitación para ejecutivosT "
6115,Escuelas de oficiosT 
6116,Otros servicios educativosT 
6211,Consultorios médicosT 
6212,Consultorios dentalesT 
6213,Otros consultorios para el cuidado de la saludT 
6214,Centros para la atención de pacientes que no requieren hospitalizaciónT 
6215,Laboratorios médicos y de diagnósticoT 
6221,Hospitales generalesT 
6223,Hospitales de otras especialidades médicasT 
6241,Servicios de orientación y trabajo socialT 
6242,"Servicios comunitarios de alimentación, refugio y emergenciaT "
6243,"Servicios de capacitación para el trabajo para personas desempleadas, subempleadas o con discapacidadT "
6244,GuarderíasT 
7113,"Promotores de espectáculos artísticos, culturales, deportivos y similaresT "
7121,"Museos, sitios históricos, zoológicos y similaresT "
7131,Parques con instalaciones recreativas y casas de juegos electrónicosT 
7139,Otros servicios recreativosT 
7211,"Hoteles, moteles y similaresT "
7212,Campamentos y albergues recreativosT 
7225,Servicios de preparación de alimentos y bebidas alcohólicas y no alcohólicasT 
8111,Reparación y mantenimiento de automóviles y camionesT 
8112,Reparación y mantenimiento de equipo electrónico y de equipo de precisiónT 
8114,Reparación y mantenimiento de artículos para el hogar y personalesT 
8121,"Salones y clínicas de belleza, baños públicos y bolerías "
8122,Lavanderías y tintorerías 
8124,Estacionamientos y pensiones para vehículos automotores 
8129,Servicios de revelado e impresión de fotografías y otros servicios personales 
8131,"Asociaciones y organizaciones comerciales, laborales, profesionales y recreativas "
8132,"Asociaciones y organizaciones religiosas, políticas y civiles "
9312,Administración pública en general 
9314,Impartición de justicia y mantenimiento de la seguridad y el orden público 
9316,Actividades administrativas de instituciones de bienestar social 
