Código,Título
5111,"Edición de periódicos, revistas, libros y similares, y edición de estas publicaciones integrada con la impresiónT "
5112,Edición de software y edición de software integrada con la reproducciónT 
5121,Industria fílmica y del videoT 
5122,Industria del sonidoT 
5152,Producción de programación de canales para sistemas de televisión por cable o satelitalesT 
5179,Otros servicios de telecomunicacionesT 
5182,"Procesamiento electrónico de información, hospedaje y otros servicios relacionadosT "
5191,Otros servicios de informaciónT 
5414,Diseño especializadoT 
5417,Servicios de investigación científica y desarrolloT 
6113,Escuelas de educación superiorT 
7111,Compañías y grupos de espectáculos artísticos y culturalesT 
7113,"Promotores de espectáculos artísticos, culturales, deportivos y similaresT "
7114,"Agentes y representantes de artistas, deportistas y similaresT "
7115,"Artistas, escritores y técnicos independientesT "
7121,"Museos, sitios históricos, zoológicos y similaresT "
