ID_BLOCK,ID_CCU,LETRA PROYECTO,PROYECTO,TIPO_PROYECTO,USO,CVE_ZONSECUN,SUP,POB1,VIV40M,VIV60M,VIV80M,C_UECON,UBS,M2_CONTRS,M2_AREAVERDE
74,1,,"AUDITORIO METROPOLITANO ""TELMEX""",EQUIPAMIENTO INSTITUCIONAL,REGIONAL,EI-R,"52,736.51",0,0,0,0,0,0,"46,840.72",0
244,2,,BIBLIOTECA PÚBLICA DEL ESTADO DE JALISCO,EQUIPAMIENTO INSTITUCIONAL,REGIONAL,EI-R,"14,227.19",0,0,0,0,0,0,"42,760.22",0
245,3,,PLAZA CULTURAL DEL BICENTENARIO,ESPACIO VERDE,CENTRAL,EV-C,"19,454.19",0,0,0,0,0,0,"26,200.15","19,454.19"
183,4,,CONJUNTO DE ARTES ESCÉNICAS,EQUIPAMIENTO INSTITUCIONAL,CENTRAL,EI-C,"16,851.75",0,0,0,0,0,0,"44,752.44",0
247,5,,CENTRO DE INVESTIGACIONES INTERDISCIPLINARIAS,EQUIPAMIENTO INSTITUCIONAL,CENTRAL,EI-C,"4,453.16",0,0,0,0,0,0,"4,084.76",0
251,6,,MUSEO DE CIENCIAS AMBIENTALES,EQUIPAMIENTO INSTITUCIONAL,CENTRAL,EI-C,"15,518.11",0,0,0,0,0,0,"18,868.91",0
240,7,K,Edificios Vivienda Bicentenario y Centro comercial,VIVIENDA,MIXTO CENTRAL,MC-4,"34,579.67","2,051",237,395,178,93,0,"67,776",0
242,9,,RESIDENCIAL + COMERCIO + SERVICIOS,MIXTO CENTRAL,ALTA,MC-4,"3,393.75",527,85,75,42,32,0,"23,056.71",0
246,10,,CENTRO DE COMERCIO CENTRAL (DEPARTAMENTAL),COMERCIALES Y SERVICIOS CENTRAL,ALTA,CS-C4,"18,399.17",0,0,0,0,141,0,"53,393.33",0
249,11,,RESIDENCIAL + COMERCIO,MIXTO CENTRAL,ALTA,MC-4,"3,270.02",0,0,0,0,19,0,"22,440.49",0
250,12,,COMERCIAL + OFICINAS,COMERCIALES Y SERVICIOS CENTRAL,ALTA,CS-C4,"3,841.31",0,0,0,0,59,0,"11,574.62",0
263,13,,OFICINAS CORPORATIVAS,COMERCIALES Y SERVICIOS CENTRAL,ALTA,CS-C4,"12,072.63",0,0,0,0,246,0,"57,485.03",0
248,14,,PARQUE URBANO METROPOLITANO NORTE,ESPACIO VERDE,CENTRAL,EV-C,"16,259.10",0,0,0,0,0,M2,812.95,"16,259.10"
252,15,,HOTEL (5*) 120 HABITACIONES,TURÍSTICO HOTELERO,ALTA,TH-4,"4,192.14",0,0,0,0,0,0,"25,395.98",0
11,16,,COMERCIO + SERVICIOS,COMERCIALES Y SERVICIOS DISTRITAL,ALTA,CS-D4,"2,908.50",0,0,0,0,5,0,"7,451.57",0
265,18,,PARQUE URBANO METROPOLITANO /SALA DE ARTE CONTEMPORANEO,ESPACIO VERDE,CENTRAL,EV-C /EI,"30,792.27",0,0,0,0,1,0,"1,539.61","30,792.27"
267,19,,OFICINAS PRIVADAS + COMERCIO EN PB,COMERCIALES Y SERVICIOS CENTRAL,CENTRAL,CS-C4,"5,034.19",0,0,0,0,409,0,"23,970.80",0
275,20,,RESIDENCIAL ESPECIAL (ASISTIDA- RENTAS),MIXTO CENTRAL,ALTA,MC-4,"3,358.49",1192,397,0,0,0,0,"22,711.82",0
276,21,,RESIDENCIAL PLUS + COMERCIO EN PB,MIXTO CENTRAL,ALTA,MC-4,"3,639.06",0,0,0,0,6,0,"20,542.11",0
277,22,,OFICINAS PRIVADAS + COMERCIO EN PB,COMERCIALES Y SERVICIOS CENTRAL,ALTA,CS-C4,"12,530.09",0,0,0,0,193,0,"37,755.66",0
12,23,,ESPACIO VERDE Y RECREATIVO,ESPACIO VERDE,BARRIAL,EV-B,"2,761.58",0,0,0,0,0,0,138.08,"2,761.58"
268,24,,RESIDENCIAL PLUS + COMERCIO EN PB,MIXTO CENTRAL,ALTA,MC-4,"5,220.99",0,0,0,0,10,0,"34,317.81",0
288,25,,OFICINAS PRIVADAS+ COMERCIO EN PB,COMERCIALES Y SERVICIOS CENTRAL,ALTA,CS-C4,"5,292.61",0,0,0,0,35,0,"15,947.70",0
289,26,,ESPACIO VERDE Y RECREATIVO,ESPACIO VERDE,BARRIAL,EV-B,"5,234.81",0,0,0,0,0,M2,261.74,"5,234.81"
278,27,,RESIDENCIAL ESPECIAL (ASISTIDA- RENTAS),MIXTO CENTRAL,ALTA,MC-4,"3,462.91",1229,410,0,0,0,0,"23,417.95",0
269,28,,RESIDENCIAL PLUS + COMERCIO EN PB,MIXTO CENTRAL,ALTA,MC-4,3600.57,267,0,0,134,5,0,"16,982.99",0
286,29,,RESIDENCIAL PLUS + COMERCIO EN PB,MIXTO CENTRAL,ALTA,MC-4,2164.63,161,0,0,80,3,0,"10,210.00",0
292,30,,OFICINAS PRIVADAS + COMERCIO EN PB,COMERCIALES Y SERVICIOS CENTRAL,ALTA,CS-C4,"2,138.22",0,0,0,0,66,0,"10,181.33",0
279,31,,RESIDENCIAL MEDIA ESPECIAL,MIXTO CENTRAL,ALTA,MC-4,"3,495.58",1241,414,0,0,0,0,"23,638.85",0
274,32,,RESIDENCIAL PLUS + COMERCIO EN PB,MIXTO CENTRAL,ALTA,MC-4,"3,747.84",228,0,0,114,4,0,"14,497.98",0
270,33,,ESPACIO VERDE Y RECREATIVO,ESPACIO VERDE,BARRIAL,EV-B,"3,668.39",0,0,0,0,0,M2,183.42,"3,668.39"
272,34,,RESIDENCIAL MEDIO ESPECIAL,MIXTO CENTRAL,ALTA,MC-4,"7,663.48",1173,0,469,0,0,0,"40,215.66",0
271,35,,RESIDENCIAL PLUS + COMERCIO EN PB,MIXTO CENTRAL,ALTA,MC-4,"4,723.43",355,0,0,178,6,0,"22,558.10",0
283,36,,ESPACIO VERDE Y RECREATIVO,ESPACIO VERDE,BARRIAL,EV-B,"1,169.31",0,0,0,0,0,M2,58.47,"1,169.31"
282,37,,RESIDENCIAL MEDIO ESPECIAL,COMERCIALES Y SERVICIOS CENTRAL,ALTA,CS-C4,"5,495.04",1062,0,425,0,0,0,"36,424.28",0
281,38,,RESIDENCIAL PLUS + COMERCIO EN PB,MIXTO CENTRAL,ALTA,MC-4,"3,860.02",404,0,0,202,7,0,"25,639.16",0
273,39,,OFICINAS PRIVADAS + COMERCIO EN PB,COMERCIALES Y SERVICIOS CENTRAL,ALTA,CS-C4,"2,283.36",0,0,0,0,70,0,"10,985.72",0
280,40,,HOTEL BUSINESS CLASS,TURÍSTICO HOTELERO,ALTA,TH-4,"3,502.03",0,0,0,0,0,0,"21,212.27",0
304,41,I,BODEGA SERVICIOS,COMERCIALES Y SERVICIOS CENTRAL,ALTA,CS-C4,"7,161.61",0,0,0,0,52,0,"18,648.84",0
296,42,I,OFICINAS,COMERCIALES Y SERVICIOS CENTRAL,ALTA,CS-C4,"6,848.25",0,0,0,0,367,0,"38,722.77",0
255,43,I,ESTACIONAMIENTO,COMERCIALES Y SERVICIOS CENTRAL,ALTA,CS-C4,"5,738.64",0,0,0,0,0,0,"32,610.93",0
303,44,I,DISEÑO DIGITAL,COMERCIALES Y SERVICIOS CENTRAL,ALTA,CS-C4,"6,789.63",0,0,0,0,109,0,"41,590.55",0
298,45,I,EXPLANADA MULTIUSOS,ESPACIO VERDE,BARRIAL,EV-B,"5,910.38",0,0,0,0,0,M2,295.52,"5,910.38"
302,46,I,DISEÑO DIGITAL,COMERCIALES Y SERVICIOS CENTRAL,ALTA,CS-C4,"6,795.43",0,0,0,0,105,0,"36,401.78",0
299,47,I,EXPLANADA MULTIUSOS,ESPACIO VERDE,BARRIAL,EV-B,"5,939.24",0,0,0,0,0,M2,296.96,"5,939.24"
301,48,I,DISEÑO DIGITAL,COMERCIALES Y SERVICIOS CENTRAL,ALTA,CS-C4,"8,946.53",0,0,0,0,114,0,"47,924.78",0
300,49,I,MULTIDEPORTIVO,ESPACIO VERDE,BARRIAL,EV-B,"7,748.33",0,0,0,0,0,M2,387.42,"7,748.33"
154,50,I,PARQUE INDUSTRIAL,INDUSTRIAL,BAJO,I1,"35,396.10",0,0,0,0,0,0,"186,313.40",0
306,89,I,Parque de Investigación y Desarrollo en Alta Tecnología,EQUIPAMIENTO INSTITUCIONAL,INDUSTRIAL,I1,"20,378.00",0,0,0,0,0,0,"57,058",0
261,90,A,Torres de Departamentos Residencial Élite I,VIVIENDA,MIXTO DISTRITAL,MD-4,"13,700.67",532,0,200,17,0,0,"13,311",0
258,91,A,Torres de Departamentos Residencial Élite II,VIVIENDA,MIXTO DISTRITAL,MD-4,"39,631.20","1,081",0,406,34,0,0,"27,035",0
257,92,B,Estación de transferencia,EQUIPAMIENTO,EQUIPAMIENTO,EI,"4,988.00",0,0,0,0,3,M2,"2,394",0
236,93,B,Edificio Vivienda Rodeo y Laurles (7 niveles),VIVIENDA,MIXTO CENTRAL,MC-4,"3,966.14",388,72,32,16,5,0,"2,776",0
73,94,B,Edificio de 8 niveles ,VIVIENDA,MIXTO CENTRAL,MC-4,"3,617.98",613,119,42,28,4,0,"2,532",0
241,15a,,APARTAHOTEL (60) HABITACIONES,TURÍSTICO HOTELERO,ALTA,TH-4,"1,197.75",0,0,0,0,0,0,"5,581.53",0
253,15b,,HOTEL BOUTIQUE (20 ) SUITES,TURÍSTICO HOTELERO,ALTA,TH-4,598.88,0,0,0,0,0,0,"2,232.62",0
163,17a,,CENTRO COMERCIAL FASE 2,COMERCIALES Y SERVICIOS DISTRITAL,ALTA,CS-C4,"16,300.09",0,0,0,0,130,0,"42,764.00",0
266,17b,,CENTRO COMERCIAL FASE 3,COMERCIALES Y SERVICIOS DISTRITAL,ALTA,CS-C4,"21,157.38",0,0,0,0,176,0,"57,834.00",0
